Store Name,Product,Date,Sales Quantity,Footfall,Space_Allocated,  Price  ,  Cost  ,  Revenue  ,  Total Cost  ,  Profit  ,Sales per sq meter,Profit per sq meter,Conversion rate,Traffic Density
Store B,Toys,04/01/2023,1178,2433,54,12.00,10.00,14136.00,11780.00,2356.00,21.81481481,43.63,48%,45.06
Store D,Toys,04/01/2023,614,4148,78,12.00,10.00,7368.00,6140.00,1228.00,7.871794872,15.74,15%,53.18
Store D,Toys,04/01/2023,1999,1054,104,12.00,10.00,23988.00,19990.00,3998.00,19.22115385,38.44,190%,10.13
Store B,Toys,04/01/2023,1269,809,63,12.00,10.00,15228.00,12690.00,2538.00,20.14285714,40.29,157%,12.84
Store E,Toys,04/01/2023,525,4478,165,12.00,10.00,6300.00,5250.00,1050.00,3.181818182,6.36,12%,27.14
Store B,Toys,04/01/2023,1901,3952,121,12.00,10.00,22812.00,19010.00,3802.00,15.7107438,31.42,48%,32.66
Store A,Toys,04/01/2023,315,3369,183,12.00,10.00,3780.00,3150.00,630.00,1.721311475,3.44,9%,18.41
Store D,Toys,04/01/2023,1239,2947,37,12.00,10.00,14868.00,12390.00,2478.00,33.48648649,66.97,42%,79.65
Store B,Toys,04/01/2023,1208,1442,152,12.00,10.00,14496.00,12080.00,2416.00,7.947368421,15.89,84%,9.49
Store B,Toys,04/01/2023,1103,4934,10,12.00,10.00,13236.00,11030.00,2206.00,110.3,220.60,22%,493.40
Store E,Toys,04/01/2023,1515,2045,56,12.00,10.00,18180.00,15150.00,3030.00,27.05357143,54.11,74%,36.52
Store C,Toys,05/01/2023,1542,3294,78,12.00,10.00,18504.00,15420.00,3084.00,19.76923077,39.54,47%,42.23
Store D,Toys,05/01/2023,1547,3078,189,12.00,10.00,18564.00,15470.00,3094.00,8.185185185,16.37,50%,16.29
Store A,Toys,05/01/2023,1706,1826,158,12.00,10.00,20472.00,17060.00,3412.00,10.79746835,21.59,93%,11.56
Store D,Toys,05/01/2023,880,4366,145,12.00,10.00,10560.00,8800.00,1760.00,6.068965517,12.14,20%,30.11
Store B,Toys,05/01/2023,1825,4975,132,12.00,10.00,21900.00,18250.00,3650.00,13.82575758,27.65,37%,37.69
Store B,Toys,05/01/2023,1530,3409,88,12.00,10.00,18360.00,15300.00,3060.00,17.38636364,34.77,45%,38.74
Store D,Toys,05/01/2023,549,706,55,12.00,10.00,6588.00,5490.00,1098.00,9.981818182,19.96,78%,12.84
Store D,Toys,05/01/2023,456,824,121,12.00,10.00,5472.00,4560.00,912.00,3.768595041,7.54,55%,6.81
Store E,Toys,05/01/2023,1977,807,183,12.00,10.00,23724.00,19770.00,3954.00,10.80327869,21.61,245%,4.41
Store C,Toys,05/01/2023,918,740,26,12.00,10.00,11016.00,9180.00,1836.00,35.30769231,70.62,124%,28.46
Store B,Toys,05/01/2023,1175,2288,175,12.00,10.00,14100.00,11750.00,2350.00,6.714285714,13.43,51%,13.07
Store A,Toys,06/01/2023,1871,4154,85,12.00,10.00,22452.00,18710.00,3742.00,22.01176471,44.02,45%,48.87
Store A,Toys,06/01/2023,1071,2245,105,12.00,10.00,12852.00,10710.00,2142.00,10.2,20.40,48%,21.38
Store E,Toys,06/01/2023,326,2690,96,12.00,10.00,3912.00,3260.00,652.00,3.395833333,6.79,12%,28.02
Store E,Toys,06/01/2023,1934,3236,195,12.00,10.00,23208.00,19340.00,3868.00,9.917948718,19.84,60%,16.59
Store D,Toys,06/01/2023,1041,2723,131,12.00,10.00,12492.00,10410.00,2082.00,7.946564885,15.89,38%,20.79
Store C,Toys,06/01/2023,1150,2802,56,12.00,10.00,13800.00,11500.00,2300.00,20.53571429,41.07,41%,50.04
Store E,Toys,06/01/2023,482,2104,95,12.00,10.00,5784.00,4820.00,964.00,5.073684211,10.15,23%,22.15
Store E,Toys,06/01/2023,1346,719,133,12.00,10.00,16152.00,13460.00,2692.00,10.12030075,20.24,187%,5.41
Store C,Toys,06/01/2023,244,3560,173,12.00,10.00,2928.00,2440.00,488.00,1.410404624,2.82,7%,20.58
Store C,Toys,07/01/2023,1324,2570,66,12.00,10.00,15888.00,13240.00,2648.00,20.06060606,40.12,52%,38.94
Store D,Toys,07/01/2023,663,2412,151,12.00,10.00,7956.00,6630.00,1326.00,4.390728477,8.78,27%,15.97
Store C,Toys,07/01/2023,891,3837,144,12.00,10.00,10692.00,8910.00,1782.00,6.1875,12.38,23%,26.65
Store B,Toys,07/01/2023,1061,558,55,12.00,10.00,12732.00,10610.00,2122.00,19.29090909,38.58,190%,10.15
Store B,Toys,07/01/2023,857,3011,130,12.00,10.00,10284.00,8570.00,1714.00,6.592307692,13.18,28%,23.16
Store D,Toys,07/01/2023,338,1102,41,12.00,10.00,4056.00,3380.00,676.00,8.243902439,16.49,31%,26.88
Store B,Toys,07/01/2023,1994,3349,127,12.00,10.00,23928.00,19940.00,3988.00,15.7007874,31.40,60%,26.37
Store C,Toys,07/01/2023,1238,1570,11,12.00,10.00,14856.00,12380.00,2476.00,112.5454545,225.09,79%,142.73
Store A,Toys,08/01/2023,1514,4999,123,12.00,10.00,18168.00,15140.00,3028.00,12.30894309,24.62,30%,40.64
Store E,Toys,08/01/2023,1402,1804,132,12.00,10.00,16824.00,14020.00,2804.00,10.62121212,21.24,78%,13.67
Store E,Toys,08/01/2023,1611,4315,118,12.00,10.00,19332.00,16110.00,3222.00,13.65254237,27.31,37%,36.57
Store C,Toys,08/01/2023,1087,4845,164,12.00,10.00,13044.00,10870.00,2174.00,6.62804878,13.26,22%,29.54
Store B,Toys,08/01/2023,230,728,54,12.00,10.00,2760.00,2300.00,460.00,4.259259259,8.52,32%,13.48
Store D,Toys,08/01/2023,1567,3030,72,12.00,10.00,18804.00,15670.00,3134.00,21.76388889,43.53,52%,42.08
Store C,Toys,08/01/2023,800,4180,109,12.00,10.00,9600.00,8000.00,1600.00,7.339449541,14.68,19%,38.35
Store C,Toys,08/01/2023,1926,4497,19,12.00,10.00,23112.00,19260.00,3852.00,101.3684211,202.74,43%,236.68
Store B,Toys,08/01/2023,1408,2980,128,12.00,10.00,16896.00,14080.00,2816.00,11,22.00,47%,23.28
Store B,Toys,08/01/2023,1303,4901,97,12.00,10.00,15636.00,13030.00,2606.00,13.43298969,26.87,27%,50.53
Store B,Toys,08/01/2023,1866,2062,170,12.00,10.00,22392.00,18660.00,3732.00,10.97647059,21.95,90%,12.13
Store C,Toys,08/01/2023,519,3739,62,12.00,10.00,6228.00,5190.00,1038.00,8.370967742,16.74,14%,60.31
Store D,Toys,08/01/2023,1967,1134,133,12.00,10.00,23604.00,19670.00,3934.00,14.78947368,29.58,173%,8.53
Store A,Toys,08/01/2023,1594,1833,89,12.00,10.00,19128.00,15940.00,3188.00,17.91011236,35.82,87%,20.60
Store C,Toys,08/01/2023,1366,3809,42,12.00,10.00,16392.00,13660.00,2732.00,32.52380952,65.05,36%,90.69
Store D,Toys,08/01/2023,1931,2873,140,12.00,10.00,23172.00,19310.00,3862.00,13.79285714,27.59,67%,20.52
Store B,Toys,08/01/2023,1867,1883,98,12.00,10.00,22404.00,18670.00,3734.00,19.05102041,38.10,99%,19.21
Store B,Toys,08/01/2023,1199,2280,185,12.00,10.00,14388.00,11990.00,2398.00,6.481081081,12.96,53%,12.32
Store B,Toys,08/01/2023,1996,4031,77,12.00,10.00,23952.00,19960.00,3992.00,25.92207792,51.84,50%,52.35
Store A,Toys,08/01/2023,149,4533,15,12.00,10.00,1788.00,1490.00,298.00,9.933333333,19.87,3%,302.20
Store B,Toys,08/01/2023,1230,670,137,12.00,10.00,14760.00,12300.00,2460.00,8.97810219,17.96,184%,4.89
Store E,Toys,08/01/2023,1752,1470,185,12.00,10.00,21024.00,17520.00,3504.00,9.47027027,18.94,119%,7.95
Store D,Toys,08/01/2023,1901,4074,38,12.00,10.00,22812.00,19010.00,3802.00,50.02631579,100.05,47%,107.21
Store C,Toys,09/01/2023,480,3178,120,12.00,10.00,5760.00,4800.00,960.00,4,8.00,15%,26.48
Store A,Toys,09/01/2023,820,623,149,12.00,10.00,9840.00,8200.00,1640.00,5.503355705,11.01,132%,4.18
Store E,Toys,09/01/2023,1133,2043,135,12.00,10.00,13596.00,11330.00,2266.00,8.392592593,16.79,55%,15.13
Store D,Toys,09/01/2023,177,724,133,12.00,10.00,2124.00,1770.00,354.00,1.330827068,2.66,24%,5.44
Store E,Toys,09/01/2023,1443,2578,119,12.00,10.00,17316.00,14430.00,2886.00,12.12605042,24.25,56%,21.66
Store B,Toys,09/01/2023,627,3478,13,12.00,10.00,7524.00,6270.00,1254.00,48.23076923,96.46,18%,267.54
Store A,Toys,09/01/2023,1026,3487,51,12.00,10.00,12312.00,10260.00,2052.00,20.11764706,40.24,29%,68.37
Store A,Toys,09/01/2023,1313,2827,72,12.00,10.00,15756.00,13130.00,2626.00,18.23611111,36.47,46%,39.26
Store B,Toys,09/01/2023,748,4924,75,12.00,10.00,8976.00,7480.00,1496.00,9.973333333,19.95,15%,65.65
Store A,Toys,09/01/2023,800,2063,34,12.00,10.00,9600.00,8000.00,1600.00,23.52941176,47.06,39%,60.68
Store C,Toys,09/01/2023,1714,2793,61,12.00,10.00,20568.00,17140.00,3428.00,28.09836066,56.20,61%,45.79
Store A,Toys,09/01/2023,1532,3439,51,12.00,10.00,18384.00,15320.00,3064.00,30.03921569,60.08,45%,67.43
Store E,Toys,09/01/2023,1583,3085,150,12.00,10.00,18996.00,15830.00,3166.00,10.55333333,21.11,51%,20.57
Store B,Toys,09/01/2023,397,808,166,12.00,10.00,4764.00,3970.00,794.00,2.391566265,4.78,49%,4.87
Store E,Toys,09/01/2023,1122,2690,47,12.00,10.00,13464.00,11220.00,2244.00,23.87234043,47.74,42%,57.23
Store E,Toys,10/01/2023,817,2022,79,12.00,10.00,9804.00,8170.00,1634.00,10.34177215,20.68,40%,25.59
Store D,Toys,10/01/2023,204,4034,149,12.00,10.00,2448.00,2040.00,408.00,1.369127517,2.74,5%,27.07
Store C,Toys,10/01/2023,1624,2159,176,12.00,10.00,19488.00,16240.00,3248.00,9.227272727,18.45,75%,12.27
Store A,Toys,10/01/2023,269,3626,67,12.00,10.00,3228.00,2690.00,538.00,4.014925373,8.03,7%,54.12
Store B,Toys,10/01/2023,595,1952,59,12.00,10.00,7140.00,5950.00,1190.00,10.08474576,20.17,30%,33.08
Store D,Toys,10/01/2023,150,3483,121,12.00,10.00,1800.00,1500.00,300.00,1.239669421,2.48,4%,28.79
Store D,Toys,10/01/2023,1233,3814,126,12.00,10.00,14796.00,12330.00,2466.00,9.785714286,19.57,32%,30.27
Store A,Toys,10/01/2023,974,2338,135,12.00,10.00,11688.00,9740.00,1948.00,7.214814815,14.43,42%,17.32
Store E,Toys,10/01/2023,1848,1605,178,12.00,10.00,22176.00,18480.00,3696.00,10.38202247,20.76,115%,9.02
Store E,Toys,10/01/2023,603,2930,180,12.00,10.00,7236.00,6030.00,1206.00,3.35,6.70,21%,16.28
Store C,Toys,10/01/2023,165,4436,93,12.00,10.00,1980.00,1650.00,330.00,1.774193548,3.55,4%,47.70
Store D,Toys,10/01/2023,1885,2206,177,12.00,10.00,22620.00,18850.00,3770.00,10.64971751,21.30,85%,12.46
Store D,Toys,10/01/2023,1539,1742,36,12.00,10.00,18468.00,15390.00,3078.00,42.75,85.50,88%,48.39
Store C,Toys,10/01/2023,1566,4896,144,12.00,10.00,18792.00,15660.00,3132.00,10.875,21.75,32%,34.00
Store D,Toys,10/01/2023,936,3938,165,12.00,10.00,11232.00,9360.00,1872.00,5.672727273,11.35,24%,23.87
Store D,Toys,10/01/2023,527,3345,12,12.00,10.00,6324.00,5270.00,1054.00,43.91666667,87.83,16%,278.75
Store A,Toys,10/01/2023,253,4372,102,12.00,10.00,3036.00,2530.00,506.00,2.480392157,4.96,6%,42.86
Store E,Toys,10/01/2023,1859,4168,143,12.00,10.00,22308.00,18590.00,3718.00,13,26.00,45%,29.15
Store D,Toys,10/01/2023,1090,1120,13,12.00,10.00,13080.00,10900.00,2180.00,83.84615385,167.69,97%,86.15
Store C,Toys,11/01/2023,889,3318,64,12.00,10.00,10668.00,8890.00,1778.00,13.890625,27.78,27%,51.84
Store B,Toys,11/01/2023,108,3038,95,12.00,10.00,1296.00,1080.00,216.00,1.136842105,2.27,4%,31.98
Store A,Toys,11/01/2023,1964,700,20,12.00,10.00,23568.00,19640.00,3928.00,98.2,196.40,281%,35.00
Store A,Toys,11/01/2023,151,713,46,12.00,10.00,1812.00,1510.00,302.00,3.282608696,6.57,21%,15.50
Store C,Toys,11/01/2023,1256,3876,119,12.00,10.00,15072.00,12560.00,2512.00,10.55462185,21.11,32%,32.57
Store B,Toys,11/01/2023,1378,4284,52,12.00,10.00,16536.00,13780.00,2756.00,26.5,53.00,32%,82.38
Store D,Toys,11/01/2023,206,2397,98,12.00,10.00,2472.00,2060.00,412.00,2.102040816,4.20,9%,24.46
Store E,Toys,11/01/2023,1977,1921,102,12.00,10.00,23724.00,19770.00,3954.00,19.38235294,38.76,103%,18.83
Store B,Toys,11/01/2023,617,1630,105,12.00,10.00,7404.00,6170.00,1234.00,5.876190476,11.75,38%,15.52
Store D,Toys,12/01/2023,384,2282,197,12.00,10.00,4608.00,3840.00,768.00,1.949238579,3.90,17%,11.58
Store B,Toys,12/01/2023,797,2494,13,12.00,10.00,9564.00,7970.00,1594.00,61.30769231,122.62,32%,191.85
Store A,Toys,12/01/2023,1236,4669,62,12.00,10.00,14832.00,12360.00,2472.00,19.93548387,39.87,26%,75.31
Store A,Toys,12/01/2023,1657,915,21,12.00,10.00,19884.00,16570.00,3314.00,78.9047619,157.81,181%,43.57
Store D,Toys,12/01/2023,1824,2171,153,12.00,10.00,21888.00,18240.00,3648.00,11.92156863,23.84,84%,14.19
Store D,Toys,12/01/2023,602,1110,41,12.00,10.00,7224.00,6020.00,1204.00,14.68292683,29.37,54%,27.07
Store D,Toys,12/01/2023,211,1979,171,12.00,10.00,2532.00,2110.00,422.00,1.233918129,2.47,11%,11.57
Store A,Toys,12/01/2023,1138,2070,170,12.00,10.00,13656.00,11380.00,2276.00,6.694117647,13.39,55%,12.18
Store B,Toys,12/01/2023,1219,1794,81,12.00,10.00,14628.00,12190.00,2438.00,15.04938272,30.10,68%,22.15
Store B,Toys,12/01/2023,1827,2767,117,12.00,10.00,21924.00,18270.00,3654.00,15.61538462,31.23,66%,23.65
Store B,Toys,13/01/2023,1366,3939,52,12.00,10.00,16392.00,13660.00,2732.00,26.26923077,52.54,35%,75.75
Store B,Toys,13/01/2023,1321,3228,65,12.00,10.00,15852.00,13210.00,2642.00,20.32307692,40.65,41%,49.66
Store D,Toys,13/01/2023,468,1661,120,12.00,10.00,5616.00,4680.00,936.00,3.9,7.80,28%,13.84
Store D,Toys,13/01/2023,1773,2154,39,12.00,10.00,21276.00,17730.00,3546.00,45.46153846,90.92,82%,55.23
Store E,Toys,13/01/2023,146,3367,145,12.00,10.00,1752.00,1460.00,292.00,1.006896552,2.01,4%,23.22
Store D,Toys,13/01/2023,920,4294,82,12.00,10.00,11040.00,9200.00,1840.00,11.2195122,22.44,21%,52.37
Store C,Toys,13/01/2023,654,4444,195,12.00,10.00,7848.00,6540.00,1308.00,3.353846154,6.71,15%,22.79
Store E,Toys,13/01/2023,892,3660,38,12.00,10.00,10704.00,8920.00,1784.00,23.47368421,46.95,24%,96.32
Store B,Toys,13/01/2023,1621,4056,38,12.00,10.00,19452.00,16210.00,3242.00,42.65789474,85.32,40%,106.74
Store E,Toys,13/01/2023,1469,550,144,12.00,10.00,17628.00,14690.00,2938.00,10.20138889,20.40,267%,3.82
Store E,Toys,13/01/2023,1086,4028,124,12.00,10.00,13032.00,10860.00,2172.00,8.758064516,17.52,27%,32.48
Store D,Toys,13/01/2023,1787,1127,144,12.00,10.00,21444.00,17870.00,3574.00,12.40972222,24.82,159%,7.83
Store B,Toys,13/01/2023,276,1377,33,12.00,10.00,3312.00,2760.00,552.00,8.363636364,16.73,20%,41.73
Store C,Toys,13/01/2023,216,4852,50,12.00,10.00,2592.00,2160.00,432.00,4.32,8.64,4%,97.04
Store A,Toys,13/01/2023,253,2864,193,12.00,10.00,3036.00,2530.00,506.00,1.310880829,2.62,9%,14.84
Store A,Toys,13/01/2023,1422,1517,87,12.00,10.00,17064.00,14220.00,2844.00,16.34482759,32.69,94%,17.44
Store C,Toys,13/01/2023,153,734,182,12.00,10.00,1836.00,1530.00,306.00,0.840659341,1.68,21%,4.03
Store D,Toys,13/01/2023,1093,922,107,12.00,10.00,13116.00,10930.00,2186.00,10.21495327,20.43,119%,8.62
Store B,Toys,13/01/2023,1923,4254,194,12.00,10.00,23076.00,19230.00,3846.00,9.912371134,19.82,45%,21.93
Store C,Toys,13/01/2023,894,3291,179,12.00,10.00,10728.00,8940.00,1788.00,4.994413408,9.99,27%,18.39
Store A,Toys,14/01/2023,933,3485,153,12.00,10.00,11196.00,9330.00,1866.00,6.098039216,12.20,27%,22.78
Store C,Toys,14/01/2023,1548,678,196,12.00,10.00,18576.00,15480.00,3096.00,7.897959184,15.80,228%,3.46
Store E,Toys,14/01/2023,348,4124,139,12.00,10.00,4176.00,3480.00,696.00,2.503597122,5.01,8%,29.67
Store D,Toys,14/01/2023,1405,4735,69,12.00,10.00,16860.00,14050.00,2810.00,20.36231884,40.72,30%,68.62
Store C,Toys,14/01/2023,213,2185,93,12.00,10.00,2556.00,2130.00,426.00,2.290322581,4.58,10%,23.49
Store E,Toys,14/01/2023,579,3625,95,12.00,10.00,6948.00,5790.00,1158.00,6.094736842,12.19,16%,38.16
Store A,Toys,14/01/2023,950,979,187,12.00,10.00,11400.00,9500.00,1900.00,5.080213904,10.16,97%,5.24
Store C,Toys,14/01/2023,1117,3251,92,12.00,10.00,13404.00,11170.00,2234.00,12.14130435,24.28,34%,35.34
Store E,Toys,14/01/2023,1908,4541,112,12.00,10.00,22896.00,19080.00,3816.00,17.03571429,34.07,42%,40.54
Store A,Toys,14/01/2023,498,839,22,12.00,10.00,5976.00,4980.00,996.00,22.63636364,45.27,59%,38.14
Store E,Toys,14/01/2023,946,1183,188,12.00,10.00,11352.00,9460.00,1892.00,5.031914894,10.06,80%,6.29
Store A,Toys,14/01/2023,636,4392,104,12.00,10.00,7632.00,6360.00,1272.00,6.115384615,12.23,14%,42.23
Store E,Toys,14/01/2023,118,4311,66,12.00,10.00,1416.00,1180.00,236.00,1.787878788,3.58,3%,65.32
Store C,Toys,14/01/2023,778,1573,44,12.00,10.00,9336.00,7780.00,1556.00,17.68181818,35.36,49%,35.75
Store B,Toys,14/01/2023,1157,4858,97,12.00,10.00,13884.00,11570.00,2314.00,11.92783505,23.86,24%,50.08
Store C,Toys,14/01/2023,1364,1893,14,12.00,10.00,16368.00,13640.00,2728.00,97.42857143,194.86,72%,135.21
Store E,Toys,15/01/2023,1603,1854,83,12.00,10.00,19236.00,16030.00,3206.00,19.31325301,38.63,86%,22.34
Store D,Toys,15/01/2023,406,3532,84,12.00,10.00,4872.00,4060.00,812.00,4.833333333,9.67,11%,42.05
Store D,Toys,15/01/2023,1807,2026,177,12.00,10.00,21684.00,18070.00,3614.00,10.20903955,20.42,89%,11.45
Store C,Toys,15/01/2023,780,3766,26,12.00,10.00,9360.00,7800.00,1560.00,30,60.00,21%,144.85
Store E,Toys,15/01/2023,316,4880,30,12.00,10.00,3792.00,3160.00,632.00,10.53333333,21.07,6%,162.67
Store D,Toys,15/01/2023,837,999,106,12.00,10.00,10044.00,8370.00,1674.00,7.896226415,15.79,84%,9.42
Store A,Toys,15/01/2023,1793,1541,147,12.00,10.00,21516.00,17930.00,3586.00,12.19727891,24.39,116%,10.48
Store E,Toys,15/01/2023,171,1744,195,12.00,10.00,2052.00,1710.00,342.00,0.876923077,1.75,10%,8.94
Store C,Toys,15/01/2023,1135,4138,112,12.00,10.00,13620.00,11350.00,2270.00,10.13392857,20.27,27%,36.95
Store A,Toys,15/01/2023,592,1940,183,12.00,10.00,7104.00,5920.00,1184.00,3.234972678,6.47,31%,10.60
Store D,Toys,15/01/2023,385,3228,139,12.00,10.00,4620.00,3850.00,770.00,2.769784173,5.54,12%,23.22
Store D,Toys,15/01/2023,308,1795,137,12.00,10.00,3696.00,3080.00,616.00,2.248175182,4.50,17%,13.10
Store A,Toys,15/01/2023,420,1494,173,12.00,10.00,5040.00,4200.00,840.00,2.427745665,4.86,28%,8.64
Store A,Toys,15/01/2023,1684,4762,96,12.00,10.00,20208.00,16840.00,3368.00,17.54166667,35.08,35%,49.60
Store B,Toys,15/01/2023,1413,4633,96,12.00,10.00,16956.00,14130.00,2826.00,14.71875,29.44,30%,48.26
Store E,Toys,15/01/2023,1642,1332,67,12.00,10.00,19704.00,16420.00,3284.00,24.50746269,49.01,123%,19.88
Store D,Toys,15/01/2023,154,3172,138,12.00,10.00,1848.00,1540.00,308.00,1.115942029,2.23,5%,22.99
Store E,Toys,16/01/2023,1348,3100,120,12.00,10.00,16176.00,13480.00,2696.00,11.23333333,22.47,43%,25.83
Store C,Toys,16/01/2023,414,2370,43,12.00,10.00,4968.00,4140.00,828.00,9.627906977,19.26,17%,55.12
Store B,Toys,16/01/2023,1945,752,60,12.00,10.00,23340.00,19450.00,3890.00,32.41666667,64.83,259%,12.53
Store C,Toys,16/01/2023,951,584,64,12.00,10.00,11412.00,9510.00,1902.00,14.859375,29.72,163%,9.13
Store B,Toys,16/01/2023,1113,4470,126,12.00,10.00,13356.00,11130.00,2226.00,8.833333333,17.67,25%,35.48
Store D,Toys,16/01/2023,910,2748,115,12.00,10.00,10920.00,9100.00,1820.00,7.913043478,15.83,33%,23.90
Store D,Toys,16/01/2023,971,2375,163,12.00,10.00,11652.00,9710.00,1942.00,5.957055215,11.91,41%,14.57
Store C,Toys,16/01/2023,494,1474,174,12.00,10.00,5928.00,4940.00,988.00,2.83908046,5.68,34%,8.47
Store B,Toys,16/01/2023,1699,3492,161,12.00,10.00,20388.00,16990.00,3398.00,10.55279503,21.11,49%,21.69
Store C,Fast food,16/01/2023,1721,1973,70,14.00,10.00,24094.00,17210.00,6884.00,24.58571429,98.34,87%,28.19
Store A,Fast food,16/01/2023,700,4199,66,14.00,10.00,9800.00,7000.00,2800.00,10.60606061,42.42,17%,63.62
Store D,Fast food,16/01/2023,1843,1171,149,14.00,10.00,25802.00,18430.00,7372.00,12.36912752,49.48,157%,7.86
Store C,Fast food,16/01/2023,1872,2609,172,14.00,10.00,26208.00,18720.00,7488.00,10.88372093,43.53,72%,15.17
Store D,Fast food,16/01/2023,1728,1536,132,14.00,10.00,24192.00,17280.00,6912.00,13.09090909,52.36,113%,11.64
Store C,Fast food,16/01/2023,851,4799,123,14.00,10.00,11914.00,8510.00,3404.00,6.918699187,27.67,18%,39.02
Store D,Fast food,16/01/2023,1409,2975,128,14.00,10.00,19726.00,14090.00,5636.00,11.0078125,44.03,47%,23.24
Store C,Fast food,17/01/2023,1068,4810,154,14.00,10.00,14952.00,10680.00,4272.00,6.935064935,27.74,22%,31.23
